,ObservationDate,actual,predict
0,2020-12-04,352101.0,200530.11
1,2020-12-04,167137.0,154701.89
2,2020-12-04,1310307.0,103336.72
3,2020-12-04,252222.0,217841.67
4,2020-12-04,127715.0,60479.324
5,2020-12-04,38398.0,202443.31
6,2020-12-04,49.0,98987.945
7,2020-12-04,22480.0,30012.217
8,2020-12-04,1039207.0,38816.848
9,2020-12-04,494354.0,278354.12
10,2020-12-04,103.0,65948.875
11,2020-12-04,6959.0,15533.832
12,2020-12-04,18605.0,32670.422
13,2020-12-04,108366.0,36581.46
14,2020-12-04,770088.0,70678.41
15,2020-12-04,367329.0,222147.94
16,2020-12-04,241531.0,63169.508
17,2020-12-04,171146.0,104956.09
18,2020-12-04,194192.0,205977.89
19,2020-12-04,247177.0,190098.4
20,2020-12-04,12844.0,208063.98
21,2020-12-04,209191.0,219128.94
22,2020-12-04,246398.0,107578.55
23,2020-12-04,420268.0,210094.88
24,2020-12-04,338973.0,179202.52
25,2020-12-04,161516.0,98987.516
26,2020-12-04,320472.0,111474.67
27,2020-12-04,66436.0,196429.66
28,2020-12-04,136325.0,120195.38
29,2020-12-04,162434.0,88073.82
30,2020-12-04,23775.0,146697.44
31,2020-12-04,356662.0,142317.77
32,2020-12-04,104935.0,155863.12
33,2020-12-04,685364.0,91483.24
34,2020-12-04,382534.0,218928.27
35,2020-12-04,81949.0,66789.14
36,2020-12-04,106.0,71610.54
37,2020-12-04,456963.0,45257.074
38,2020-12-04,208875.0,189966.28
39,2020-12-04,81437.0,70226.31
40,2020-12-04,404521.0,212908.0
41,2020-12-04,54597.0,177358.75
42,2020-12-04,0.0,55043.03
43,2020-12-04,62137.0,33411.008
44,2020-12-04,226013.0,54398.11
45,2020-12-04,84398.0,117910.06
46,2020-12-04,392608.0,219705.92
47,2020-12-04,1299469.0,175006.34
48,2020-12-04,209170.0,157347.47
49,2020-12-04,4763.0,60052.074
50,2020-12-04,1613.0,206846.33
51,2020-12-04,247380.0,30065.553
52,2020-12-04,174290.0,121598.95
53,2020-12-04,52172.0,201131.3
54,2020-12-04,432207.0,167498.78
55,2020-12-04,35677.0,180666.11
56,2020-12-05,267589.0,39831.668
